post_id,post_url,post_title,tags,post_desc,address,last_update,params
119292855,https://www.nhatot.com/mua-ban-nha-dat-quan-12-tp-ho-chi-minh/119292855.htm#px=SR-special_display_ad-[PO-9][PL-default],NHÀ TÂN THỚI NHẤT TRƯỜNG CHINH GẦN QUỐC LỘ - GẦN 40M2- CHỈ HƠN 2 ĐỒNG.,"['1 PN', 'Nhà ngõ, hẻm']","NHÀ TÂN THỚI NHẤT TRƯỜNG CHINH GẦN QUỐC LỘ - GẦN 40M2- CHỈ HƠN 2 ĐỒNG.
****************************
✔️Chính chủ trang bìa chưa qua mua bán.
✔️Vị trí đẹp gần Trường Chinh sát Quốc Lộ tiện di chuyển đi trung tâm cũng như các tỉnh thành.
✔️Kết cấu : nhà cấp 4 gồm phòng khách phòng ngủ vệ sinh ,phù hợp gia đình nhỏ hoặc xây mới ,khu xây dựng tự do, đất hiện hữu.
✔️Sổ hồng vay bank.","Đường Tân Thới Nhất 1, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",2024-10-29 11:59:13.624854,"{'price_m2': 71.25, 'rooms': 1.0, 'property_legal_document': 'Đã có sổ', 'house_type': 'Nhà ngõ, hẻm', 'size': 40.0}"
120451545,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/120451545.htm#px=SR-special_display_ad-[PO-21][PL-default],BÁN NHÀ KHU TÊN LỬA 63m2 - 2 TẦNG - THUẬN TIỆN KINH DOANH CHỈ 3.X TỶ,"['3 PN', 'Nhà ngõ, hẻm']","☄️☄️VIP KHU TÊN LỬA - VỊ TRÍ SIÊU ĐẮC ĐỊA - CÓ DÒNG TIỀN KINH DOANH CHO THUÊ.
💥Đường Ô tô tránh , 8 M thông , hẻm như mặt tiền.
✍ Gần Bến xe Miền Tây - Siêu thị AEON, chợ, trường học, ngân hàng, bệnh viện, nhà thờ, dịch vụ giải trí không thiếu thứ gì.
✍DT: ( 63 m2 ) 3 x 31m, 3PN, 2 WC.
✍ Sổ hồng riêng, pháp lý chuẩn.

LIÊN HỆ: *** (TUYẾT TRANG) hoặc *** (MINH TÙNG)","Đường Đỗ Năng Tế, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",2024-10-29 11:59:14.378926,"{'price_m2': 60.32, 'rooms': 3.0, 'toilets': 2.0, 'floors': 2.0, 'property_legal_document': 'Đã có sổ', 'house_type': 'Nhà ngõ, hẻm'}"
120475553,https://www.nhatot.com/mua-ban-dat-huyen-dat-do-ba-ria-vung-tau/120475553.htm,"Ngang chợ Lộc An, kinh doanh buôn bán quá Ok luôn ạ. Giá chỉ: 1tỷ550 9",['Đất thổ cư'],"Ngang chợ Lộc An, kinh doanh buôn bán quá Ok luôn ạ. Giá chỉ: 1tỷ550
90,7m2 mt nhựa Lộc An, Đất Đỏ, ngay chợ Lộc An, dân cư hiện hữu, gần trường học, gần biển, phù hợp đầu tư, kinh doanh buôn bán, định cư
Ngang 4,6 x 21 - full thổ cư
Lh: ***","Quốc Lộ 55, Xã Lộc An, Huyện Đất Đỏ, Bà Rịa - Vũng Tàu",2024-10-25 11:59:15.961057,"{'price_m2': 17.22, 'property_legal_document': 'Đã có sổ', 'land_type': 'Đất thổ cư', 'width': 4.0, 'length': 21.0, 'size': 90.0}"
120373629,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-binh-tp-ho-chi-minh/120373629.htm#px=SR-special_display_ad-[PO-11][PL-default],"Siêu phẩm nhà hẻm xe tải, Âu Cơ 1 trệt 2 lầu, shr, giá chỉ 3,95tỷ","['3 PN', 'Hướng Nam', 'Nhà ngõ, hẻm']","BÁN NHÀ 1/ ĐƯỜNG ÂU CƠ, P10, Q.TÂN BÌNH 
🚚 Xe tải chạy vi vu
🏦 Nhà  mới đẹp chỉ dọn vào ở ngay.
Kết cấu: 1 trệt, 2 lầu, 3 phòng ngủ, 3 toilet, ban công thoáng mát....
- Pháp lý: Sổ hồng riêng, hoàn công đầy đủ

##Vị trí đắc địa:
- đường xe hơi, xe tải  thông thoáng
Cách mặt tiền đường Âu Cơ chỉ 50m, giao thông thuận tiện
Gần chợ, trường học, siêu thị, và các tiện ích xung quanh khác.
- Giá bán quá đẹp Chỉ 3 tỷ 950

☎LH: *** để xem nhà ngay","Đường Âu Cơ, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh",2024-10-25 11:59:16.604153,"{'price_m2': 123.44, 'rooms': 3.0, 'direction': 'Nam', 'toilets': 3.0, 'floors': 3.0, 'property_legal_document': 'Đã có sổ'}"
120475560,https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-binh-tan-tp-ho-chi-minh/120475560.htm#px=SR-special_display_ad-[PO-15][PL-default],"Akari City-Cần bán Căn hộ 02PN,75m2, view hướng nam - Giá 3,25 tỷ","['2 PN', 'Chung cư']","- Cần bán căn hộ 75m2 : Thiết kế gồm 02PN; 02 WC, 01 ban công, 01 logia giặt phơi riêng, phòng khách và phòng bếp - Giá 3,25 tỷ
- Trên Tầng 10, view hướng nam, luôn mát mẻ, gió nhiều thoáng
- Nhà mới, nội thất theo tiêu chuẩn bàn giao CĐT
======
- Vị trí: Chung cư Akari City nằm ngay mặt tiền Võ Văn Kiệt thuận tiện di chuyển đến trung tâm Q1 và các quận lân cận.
- Tiện ích nội khu đa dạng: Hồ bơi, Phòng Yoga, Phòng Gym, Clubhouse, Khu vui chơi trẻ em, Sân bóng rổ, BBQ ngoài trời, Phòng cộng đồng,...
- Shophouse kinh doanh đã đầy đủ hệ thống siêu thị, cửa hàng tiện lợi, nhà thuốc, cafe...
- Trường liên cấp Ngô Thời Nhiệm ngay cạnh dự án.
=======
Liên hệ Hoàng Nga (ĐT/Zalo) - ***, để được tư vấn và xem nhà thực tế.","Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",2024-10-25 11:59:17.375934,"{'property_status': 'Đã bàn giao', 'price_m2': 43.33, 'rooms': 2.0, 'toilets': 2.0, 'apartment_type': 'Chung cư', 'property_legal_document': 'Sổ hồng riêng'}"
120428571,https://www.nhatot.com/mua-ban-dat-thanh-pho-di-an-binh-duong/120428571.htm#px=SR-stickyad-[PO-2][PL-top],Đất gần BigC Go Võ Thị Sáu Đường Trước nhà rộng,['Đất thổ cư'],"Đất gần BigC Go, phường Đông Hòa, TP Dĩ An.
Đất 3,6 tỷ TL- 111.9m2 (ngang 6m). 
Thổ cư 93.8. Sổ hồng riêng. 
Hỗ trợ vay ngân hàng 70% 

Vị trí: Gần Võ Thị Sáu vào 100m, gần BigC Go. Cách làng đại học quốc gia TpHCM 1,5km, khu vực trung tâm, đi lại thuận tiện. Xây dựng tự do. đường rộng rãi xe ôtô tải vào được.","Đường Võ Thị Sáu, Phường Đông Hòa, Thành phố Dĩ An, Bình Dương",2024-10-24 11:59:18.068962,"{'price_m2': 32.43, 'property_legal_document': 'Đã có sổ', 'land_type': 'Đất thổ cư', 'width': 6.0, 'length': 19.0, 'pty_characteristics': 'Mặt tiền'}"
120475551,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-di-an-binh-duong/120475551.htm,"Bán nhà 100m2/890tr trường TH Tân Đông Hiệp B, Dĩ An, sổ hồng riêng,","['3 PN', 'Nhà mặt phố, mặt tiền']","- Đường Đặng Văn Mây, Tân Đông Hiệp, Dĩ An, Bình Dương.
- Diện tích: 100m², ngang 5m, dài 20m.
- Pháp lý sổ hồng riêng, sang tên công chứng ngay,
- Nhà 1 trệt, 1 lầu, 3 phòng ngủ, phòng bếp, phòng khách.
Liên hệ ngay em để được hỗ trợ thêm thông tin chi tiết.","., Phường Tân Đông Hiệp, Thành phố Dĩ An, Bình Dương",2024-10-25 11:59:18.734830,"{'price_m2': 8.9, 'rooms': 3.0, 'toilets': 3.0, 'property_legal_document': 'Đã có sổ', 'house_type': 'Nhà mặt phố, mặt tiền', 'furnishing_sell': 'Nội thất đầy đủ'}"
120475555,https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120475555.htm,"Bán 60m2 mặt ngõ 153 Ô Cách, Việt Hưng, ô tô tránh, giá 8.3 tỷ",['Đất thổ cư'],"——— ĐẤT ĐẸP PHỐ Ô CÁCH CẦN BÁN——-

Anh chị chủ đất gửi bán mảnh đất rất đẹp tại phố Ô cách, Phường Việt Hưng, Long Biên. Trên đất có nhà cấp 4 cho thuê.
Diện tích 60m2
Mặt tiền 3.6m 
Đường trước nhà 2 xe ô tô tránh
Vị trí / Ngõ 153 Ô cách, hoặc vào ngõ 101 Lệ Mật đều thông thoáng.
Khu vực phát triển từng ngày, kết nối vùng thuận tiện, khu Quân đội nên dân trí cao, an ninh tốt.
Cách bệnh viện Đức Giang 500m, Công viên Long Biên 800m 
💸💸💸Giá bán 8,3 tỷ có tl cho khách thiện chí
☎️☎️☎️ *** Mr Tuấn Anh","Ngõ 153 phố Ô Cách, Phường Việt Hưng, Quận Long Biên, Hà Nội",2024-10-25 11:59:19.314217,"{'price_m2': 138.33, 'direction': 'Đông Nam', 'property_legal_document': 'Đã có sổ', 'land_type': 'Đất thổ cư', 'pty_characteristics': 'Hẻm xe hơi,Thổ cư toàn bộ', 'size': 60.0}"
120475545,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/120475545.htm,Bán nhà dep gần chợ Hạnh Thông Tây Gò Vấp hẻm 1 trục 144m2 3 tầng 3ty8,"['3 PN', 'Hướng Tây Bắc', 'Nhà ngõ, hẻm']","SIÊU PHẨM NHÀ ĐẸP GẦN CHỢ ĐÊM HẠNH THÔNG TÂY GÒ VẤP

❤️Vị trí : P. 14- Q. Gò Vấp 
❤️Hướng Tây Bắc 
❤️ Diện tích : Ngang 6m , Dài 8m. 
❤️Kết cấu : 1 trệt 2 lầu , phòng khách , 2 phòng ngủ master , 2 wc , 2 ban công rộng ngắm cảnh về đêm . 
❤️ Hẻm 1 trục 4m, 3 căn nhà ra mặt tiền. 
❤️ Pháp lý : sổ hồng riêng 
❤️ Nội thất bàn giao : Full option.

Liên hệ em Yến xem nhà trực tiếp “ nói không với nhà ảo thông số ảo “ .","Đường Lê Đức Thọ, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh",2024-10-25 11:59:20.210015,"{'price_m2': 79.17, 'rooms': 3.0, 'direction': 'Tây Bắc', 'toilets': 2.0, 'floors': 3.0, 'property_legal_document': 'Đã có sổ'}"
120475547,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-thanh-tp-ho-chi-minh/120475547.htm,Nhà Phan Văn Trị - 65mv - 3 Lầu,"['3 PN', 'Hướng Tây', 'Nhà ngõ, hẻm']","🌼 Nhà Phan Văn Trị, P.12, Bình Thạnh. Nhà 1 trệt, 1 lửng, 2 lầu, sân thượng. Gồm 3 PN, 3 WC. Hướng Tây
- Diện tích: 4,25 x 10m, nở hậu 7m
- Nhà diện tích rộng, căn góc thoáng mát

 Sản phẩm thật 100% - AC xem nhà gọi e nha
MIỄN TIẾP BÁO - MIỄN QUẢNG CÁO","Đường Phan Văn Trị, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh",2024-10-25 11:59:21.127926,"{'price_m2': 103.08, 'rooms': 3.0, 'direction': 'Tây', 'toilets': 3.0, 'floors': 3.0, 'property_legal_document': 'Đã có sổ'}"
